MARRIED;NONWHITE;NORTHCEN;PROFSERV;SOUTH;TENURSQ;TRADE;WEST;FEMALE;EXPER;EDUC;WAGE
0;0;0;0;0;0;0;1;1;2;11;31000
1;0;0;0;0;4;0;1;1;22;12;32400
0;0;0;0;0;0;1;1;0;2;11;30000
1;0;0;0;0;784;0;1;0;44;8;60000
1;0;0;0;0;4;0;1;0;7;12;53000
1;0;0;1;0;64;0;1;0;9;16;87500
0;0;0;0;0;49;1;1;0;15;18;112500
0;0;0;0;0;9;0;1;1;5;12;50000
0;0;0;0;0;16;1;1;1;26;12;36000
1;0;0;0;0;441;0;1;0;22;17;181800
0;0;0;0;0;4;1;1;1;8;16;62500
0;0;0;1;0;0;0;1;1;3;13;81300
1;0;0;0;0;0;0;1;0;15;12;87700
0;0;0;0;0;9;0;1;0;18;12;55000
1;0;0;0;0;225;0;1;0;31;12;222000
1;0;0;1;0;0;0;1;0;14;16;173300
1;0;0;0;0;0;0;1;1;10;12;75000
0;0;0;1;0;100;0;1;1;16;13;106300
1;0;0;0;0;0;0;1;1;13;12;36000
1;0;0;1;0;36;0;1;1;36;12;45000
0;0;0;1;0;16;0;1;1;11;12;68800
1;0;0;0;0;169;0;1;0;29;12;84800
0;0;0;0;0;81;0;1;1;9;16;63300
0;0;0;0;0;1;0;1;1;3;12;5300
0;1;0;0;0;64;0;1;1;37;11;60000
1;1;0;0;0;9;0;1;0;3;16;95600
1;0;0;0;0;100;0;1;0;11;16;77800
1;0;0;0;0;0;0;1;0;31;16;125000
1;0;0;0;0;0;0;1;0;30;15;125000
1;0;0;0;0;1;0;1;1;9;8;32500
1;0;0;1;0;25;0;1;0;23;14;130000
0;0;0;0;0;25;1;1;1;2;14;45000
0;0;0;0;0;256;0;1;1;16;13;96800
0;0;0;0;0;9;0;1;1;7;12;50000
0;0;0;0;0;0;0;1;1;3;12;46800
1;1;0;0;0;16;1;1;1;22;16;42700
1;1;0;0;0;36;0;1;1;15;12;61500
1;0;0;0;0;225;1;1;0;39;4;35100
1;0;0;1;0;9;0;1;1;3;14;30000
0;0;0;1;0;0;0;1;1;11;12;62500
1;0;0;0;0;0;0;1;1;3;12;78100
1;1;0;1;0;25;0;1;1;20;12;100000
1;0;0;1;0;0;0;1;1;16;14;45000
1;0;0;1;0;144;0;1;1;45;11;40000
0;0;0;0;0;16;0;1;1;11;13;63800
1;0;0;1;0;169;0;1;0;20;15;137000
0;0;0;0;0;0;0;1;0;1;10;16700
1;0;0;0;0;4;1;1;1;36;12;29300
0;0;0;0;0;4;1;1;0;9;14;36500
1;0;0;0;0;1;0;1;1;15;12;29000
0;0;0;0;0;0;0;0;1;18;12;16300
0;0;0;1;0;4;0;0;1;3;16;86000
1;0;0;0;0;25;1;0;0;15;12;50000
1;0;0;0;0;49;0;0;0;7;12;60000
0;0;0;0;0;0;0;0;0;2;12;25000
0;0;0;0;0;0;1;0;0;3;15;32500
0;0;0;0;0;1;1;0;1;1;16;34000
0;1;0;0;0;0;1;0;0;13;8;100000
0;0;0;1;0;64;0;0;1;8;18;216300
0;0;0;0;0;0;1;0;0;7;16;43800
0;0;0;0;0;400;0;0;1;40;13;117100
0;0;0;1;0;25;0;0;0;42;14;123900
0;0;0;0;0;64;1;0;0;36;10;62500
0;1;0;1;0;0;0;0;1;13;10;37100
0;0;0;1;0;9;0;0;0;9;14;77800
1;0;0;0;0;529;0;0;0;26;14;199800
1;1;0;1;0;16;0;0;1;7;16;62500
1;0;0;1;0;9;0;0;0;25;12;100000
1;0;0;1;0;25;0;0;0;10;16;57100
0;0;0;0;0;4;0;0;1;3;12;20000
0;0;0;0;0;0;1;0;1;3;16;57100
1;1;0;1;0;4;0;0;0;17;17;130800
1;0;0;0;0;64;0;0;0;17;12;49100
1;0;0;0;0;1156;0;0;1;20;12;29100
